Settlement ID,Order ID,Type,Order Date,Deposit Date,Potential Income,Potential Loss,Actual Profit
shopify_11772496576671,shopify_#3613,Order,2025-11-05T11:45:39Z,2025-11-05T11:45:40Z,1.42,0.34,1.08
shopify_11772495954079,shopify_#3612,Order,2025-11-05T11:44:53Z,2025-11-05T11:44:53Z,3.81,0.41,3.40
shopify_11761449009311,shopify_#3611,Order,2025-10-30T16:23:26Z,2025-10-30T16:23:45Z,364.93,10.88,354.05
shopify_11761449009311,shopify_#3611,Order,2025-10-30T16:23:45Z,2025-10-30T16:23:45Z,364.93,10.88,354.05
shopify_11761299161247,shopify_#3610,Order,2025-10-30T14:28:40Z,2025-10-30T14:29:03Z,256.95,7.75,249.20
shopify_11761299161247,shopify_#3610,Order,2025-10-30T14:29:03Z,2025-10-30T14:29:03Z,256.95,7.75,249.20
shopify_11761204920479,shopify_#3609,Order,2025-10-30T13:11:31Z,2025-10-30T13:14:04Z,149.71,4.64,145.07
shopify_11761204920479,shopify_#3609,Order,2025-10-30T13:14:04Z,2025-10-30T13:14:04Z,149.71,4.64,145.07
shopify_11761174872223,shopify_#3608,Order,2025-10-30T12:49:37Z,2025-10-30T12:50:08Z,13.48,0.69,12.79
shopify_11761174872223,shopify_#3608,Order,2025-10-30T12:50:08Z,2025-10-30T12:50:08Z,13.48,0.69,12.79
shopify_11759308931231,shopify_#3607,Order,2025-10-29T10:42:05Z,2025-10-29T10:42:06Z,55.97,1.92,54.05
shopify_11759304966303,shopify_#3606,Order,2025-10-29T10:37:09Z,2025-10-29T10:37:10Z,6.73,0.50,6.23
shopify_11737374326943,shopify_#3605,Order,2025-10-14T14:49:30Z,2025-10-14T14:49:32Z,12.36,0.66,11.70
shopify_11737368461471,shopify_#3604,Order,2025-10-14T14:45:37Z,2025-10-14T14:45:38Z,50.00,1.75,48.25
shopify_11724157976735,shopify_#3603,Order,2025-10-06T10:30:23Z,2025-10-06T10:30:24Z,18.82,0.85,17.97
shopify_11714449539231,shopify_#3602,Order,2025-09-29T17:25:48Z,2025-09-29T17:25:49Z,97.10,3.12,93.98
shopify_11714400452767,shopify_#3601,Order,2025-09-29T16:35:24Z,2025-09-29T16:35:24Z,51.23,1.79,49.44
shopify_11714123727007,shopify_#3599,Order,2025-09-29T11:15:12Z,2025-09-29T11:15:13Z,11.19,0.62,10.57
shopify_11709887611039,shopify_#3594,Order,2025-09-26T11:41:52Z,,18.65,0.84,17.81
shopify_11704458150047,shopify_#3593,Order,2025-09-22T11:37:37Z,2025-09-22T11:37:38Z,9.32,0.57,8.75
shopify_11699661209759,shopify_#3592,Order,2025-09-18T19:29:13Z,2025-09-18T19:32:47Z,240.68,7.28,233.40
shopify_11699661209759,shopify_#3592,Refund,2025-09-18T19:29:44Z,2025-09-18T19:32:47Z,-240.68,0.00,-240.68
shopify_11699661209759,shopify_#3592,Order,2025-09-18T19:32:47Z,2025-09-18T19:32:47Z,4.10,0.42,3.68
shopify_11699661209759,shopify_#3592,Refund,2025-09-18T19:43:04Z,2025-09-18T19:32:47Z,-4.10,0.00,-4.10
shopify_11699633684639,shopify_#3591,Order,2025-09-18T19:16:06Z,2025-09-18T19:27:07Z,44.76,1.60,43.16
shopify_11699633684639,shopify_#3591,Refund,2025-09-18T19:17:56Z,2025-09-18T19:27:07Z,-44.76,0.00,-44.76
shopify_11699633684639,shopify_#3591,Order,2025-09-18T19:27:07Z,2025-09-18T19:27:07Z,185.00,5.67,179.34
shopify_11699358040223,shopify_#3590,Order,2025-09-18T15:55:40Z,2025-09-18T15:55:40Z,56.34,1.93,54.41
shopify_11699357745311,shopify_#3589,Order,2025-09-18T15:55:19Z,2025-09-18T15:55:20Z,13.32,0.69,12.63
shopify_11699350732959,shopify_#3588,Order,2025-09-18T15:47:40Z,2025-09-18T15:47:41Z,13.32,0.69,12.63
shopify_11699235651743,shopify_#3587,Order,2025-09-18T14:06:20Z,2025-09-18T14:06:21Z,12.12,0.65,11.47
shopify_11699235651743,shopify_#3587,Refund,2025-09-18T14:06:41Z,2025-09-18T14:06:21Z,-12.12,0.00,-12.12
shopify_11699167985823,shopify_#3586,Order,2025-09-18T12:53:50Z,2025-09-18T12:53:51Z,60.56,2.06,58.50
shopify_11697493475487,shopify_#3585,Order,2025-09-17T16:22:16Z,2025-09-17T16:22:17Z,3.00,0.39,2.61
shopify_11697493475487,shopify_#3585,Refund,2025-09-17T16:22:38Z,2025-09-17T16:22:17Z,-3.00,0.00,-3.00
